ablation_factor,setting,category,representation_source,anomaly_head,aug_strength,layer_name,coreset_ratio,feature_dim,memory_bank_n,memory_bank_mb,checkpoint_size_mb,fit_sec,peak_gpu_mem_mb,img_roc_auc,img_pr_auc,px_roc_auc,sec_per_img,n_eval_images
augmentation_strength,mild,bottle,simclr,patchcore,mild,layer3,0.05,256.0,1842.0,1.798828125,42.7114782333374,3.3083114624023438,368.7978515625,0.9777777777777777,0.9936690567248483,0.961189802890781,0.023159478084150566,83.0
augmentation_strength,mild,cable,simclr,patchcore,mild,layer3,0.05,256.0,1980.0,1.93359375,42.7114782333374,5.676506996154785,368.7978515625,0.7509370314842578,0.8236883510965867,0.909374465548891,0.03260220050811768,150.0
augmentation_strength,mild,capsule,simclr,patchcore,mild,layer3,0.05,256.0,1931.0,1.8857421875,42.7114782333374,5.300431966781616,368.7978515625,0.563621858795373,0.8333298273121934,0.954735370005934,0.030995060097087513,132.0
augmentation_strength,mild,carpet,simclr,patchcore,mild,layer3,0.05,256.0,2470.0,2.412109375,42.7114782333374,6.598690986633301,368.7978515625,0.6825842696629214,0.8796864750775353,0.7195043607675885,0.03425035517439883,117.0
augmentation_strength,mild,grid,simclr,patchcore,mild,layer3,0.05,256.0,2332.0,2.27734375,42.7114782333374,3.4664554595947266,368.7978515625,0.6073517126148705,0.7998272097638885,0.6874164275720204,0.02029401522416335,78.0
augmentation_strength,mild,hazelnut,simclr,patchcore,mild,layer3,0.05,256.0,3450.0,3.369140625,42.7114782333374,9.540697574615479,368.7978515625,0.9139285714285714,0.9513549517365096,0.9756066232265489,0.03296505104411732,110.0
augmentation_strength,mild,leather,simclr,patchcore,mild,layer3,0.05,256.0,2166.0,2.115234375,42.7114782333374,5.403691053390503,368.7978515625,0.8953804347826086,0.9652630842980088,0.9727549933416408,0.0298885376222672,124.0
augmentation_strength,mild,metal_nut,simclr,patchcore,mild,layer3,0.05,256.0,1940.0,1.89453125,42.7114782333374,2.7566051483154297,368.7978515625,0.6705767350928641,0.9027511462842015,0.8747423859857475,0.017972923361736795,115.0
augmentation_strength,mild,pill,simclr,patchcore,mild,layer3,0.05,256.0,2352.0,2.296875,42.7114782333374,4.523986577987671,368.7978515625,0.6849427168576103,0.9156909859239905,0.8837929290871392,0.021850712998898444,167.0
augmentation_strength,mild,screw,simclr,patchcore,mild,layer3,0.05,256.0,2822.0,2.755859375,42.7114782333374,4.286054849624634,368.7978515625,0.5812666530026646,0.8070960255638684,0.9217664694645458,0.018003951013088226,160.0
augmentation_strength,mild,tile,simclr,patchcore,mild,layer3,0.05,256.0,2029.0,1.9814453125,42.7114782333374,4.255722999572754,368.7978515625,0.8932178932178932,0.9603843322159937,0.8333251651797157,0.025226678603734724,117.0
augmentation_strength,mild,toothbrush,simclr,patchcore,mild,layer3,0.05,256.0,529.0,0.5166015625,42.7114782333374,1.8340091705322266,361.6728515625,0.6666666666666666,0.8568178544954033,0.9292636518606128,0.040275863238743374,42.0
augmentation_strength,mild,transistor,simclr,patchcore,mild,layer3,0.05,256.0,1882.0,1.837890625,42.7114782333374,5.43279504776001,368.7978515625,0.6412500000000001,0.545547765942786,0.8447044856742296,0.03211386203765869,100.0
augmentation_strength,mild,wood,simclr,patchcore,mild,layer3,0.05,256.0,2176.0,2.125,42.7114782333374,6.5162084102630615,368.7978515625,0.9666666666666667,0.9909523797626382,0.8143659675746184,0.0368792950352536,79.0
augmentation_strength,mild,zipper,simclr,patchcore,mild,layer3,0.05,256.0,2117.0,2.0673828125,42.7114782333374,3.022542953491211,368.7978515625,0.7555147058823529,0.8974610731053856,0.9376298063729258,0.017292960590084658,151.0
augmentation_strength_padim,mild,bottle,simclr,padim,mild,layer3,,100.0,196.0,7.55157470703125,42.7114782333374,3.567902088165283,368.7978515625,0.9817460317460318,0.9944952298174483,0.9512932257386478,0.022722270115312325,83.0
augmentation_strength_padim,mild,cable,simclr,padim,mild,layer3,,100.0,196.0,7.55157470703125,42.7114782333374,6.006616830825806,368.7978515625,0.7175787106446776,0.8049154484207901,0.8977761728303879,0.031383940378824866,150.0
augmentation_strength_padim,mild,capsule,simclr,padim,mild,layer3,,100.0,196.0,7.55157470703125,42.7114782333374,5.626742362976074,368.7978515625,0.7151974471479856,0.9218586350752529,0.9242465015827809,0.03163203506758719,132.0
augmentation_strength_padim,mild,carpet,simclr,padim,mild,layer3,,100.0,196.0,7.55157470703125,42.7114782333374,6.936196804046631,368.7978515625,0.5224719101123596,0.8112561018315556,0.7180805015053483,0.032403232704879895,117.0
augmentation_strength_padim,mild,grid,simclr,padim,mild,layer3,,100.0,196.0,7.55157470703125,42.7114782333374,3.6792221069335938,368.7978515625,0.4110275689223058,0.690512341592813,0.6040733778497402,0.019047058545626126,78.0
augmentation_strength_padim,mild,hazelnut,simclr,padim,mild,layer3,,100.0,196.0,7.55157470703125,42.7114782333374,10.045374631881714,368.7978515625,0.7760714285714285,0.8726016866047825,0.9482308538631393,0.031562855026938695,110.0
augmentation_strength_padim,mild,leather,simclr,padim,mild,layer3,,100.0,196.0,7.55157470703125,42.7114782333374,5.8488686084747314,368.7978515625,0.9205163043478262,0.9696904806378922,0.9749199702809137,0.028236044991400935,124.0
augmentation_strength_padim,mild,metal_nut,simclr,padim,mild,layer3,,100.0,196.0,7.55157470703125,42.7114782333374,3.037416458129883,368.7978515625,0.7903225806451613,0.9393789046631661,0.9023856622166968,0.018198419653851054,115.0
augmentation_strength_padim,mild,pill,simclr,padim,mild,layer3,,100.0,196.0,7.55157470703125,42.7114782333374,4.839090347290039,368.7978515625,0.760229132569558,0.9439337024200736,0.8243053783062952,0.02132871907628225,167.0
augmentation_strength_padim,mild,screw,simclr,padim,mild,layer3,,100.0,196.0,7.55157470703125,42.7114782333374,4.585563898086548,368.7978515625,0.5587210493953678,0.7825916004553638,0.8743648542621291,0.016323240101337434,160.0
augmentation_strength_padim,mild,tile,simclr,padim,mild,layer3,,100.0,196.0,7.55157470703125,42.7114782333374,4.5817177295684814,368.7978515625,0.8207070707070707,0.910987438857158,0.8594579313586592,0.024652945689665966,117.0
augmentation_strength_padim,mild,toothbrush,simclr,padim,mild,layer3,,100.0,196.0,7.55157470703125,42.7114782333374,2.0345299243927,361.6728515625,1.0,0.9999999999999999,0.957798298942864,0.036559808821905224,42.0
augmentation_strength_padim,mild,transistor,simclr,padim,mild,layer3,,100.0,196.0,7.55157470703125,42.7114782333374,5.610229730606079,368.7978515625,0.895,0.8989574458755871,0.9666369632564148,0.030902595520019532,100.0
augmentation_strength_padim,mild,wood,simclr,padim,mild,layer3,,100.0,196.0,7.55157470703125,42.7114782333374,6.832744359970093,368.7978515625,0.9482456140350878,0.9836320316104955,0.8000262579049007,0.03558626959595499,79.0
augmentation_strength_padim,mild,zipper,simclr,padim,mild,layer3,,100.0,196.0,7.55157470703125,42.7114782333374,3.3173635005950928,368.7978515625,0.8592436974789917,0.94398174357049,0.8987150991069331,0.016705688261827886,151.0
augmentation_strength,strong,bottle,simclr,patchcore,strong,layer3,0.05,256.0,1842.0,1.798828125,42.71171855926514,3.33856463432312,368.7978515625,0.9888888888888888,0.9969078969078968,0.9576111651625083,0.023616839604205395,83.0
augmentation_strength,strong,cable,simclr,patchcore,strong,layer3,0.05,256.0,1980.0,1.93359375,42.71171855926514,5.7245934009552,368.7978515625,0.6791604197901049,0.7837085949812956,0.9067058927314431,0.032747562726338705,150.0
augmentation_strength,strong,capsule,simclr,patchcore,strong,layer3,0.05,256.0,1931.0,1.8857421875,42.71171855926514,5.384256362915039,368.7978515625,0.6071001196649382,0.8594403073945303,0.9540300712125342,0.03195850415663286,132.0
augmentation_strength,strong,carpet,simclr,patchcore,strong,layer3,0.05,256.0,2470.0,2.412109375,42.71171855926514,6.7519121170043945,368.7978515625,0.6841894060995186,0.880451703494372,0.905189294475794,0.0330249692639734,117.0
augmentation_strength,strong,grid,simclr,patchcore,strong,layer3,0.05,256.0,2332.0,2.27734375,42.71171855926514,3.460458755493164,368.7978515625,0.6031746031746031,0.8165214135024528,0.7002563095406956,0.020599230741843198,78.0
augmentation_strength,strong,hazelnut,simclr,patchcore,strong,layer3,0.05,256.0,3450.0,3.369140625,42.71171855926514,9.804058313369751,368.7978515625,0.8896428571428571,0.9394853800023093,0.9782267708336276,0.032579506527293814,110.0
augmentation_strength,strong,leather,simclr,patchcore,strong,layer3,0.05,256.0,2166.0,2.115234375,42.71171855926514,5.614517450332642,368.7978515625,0.9419157608695652,0.9831556465391555,0.9839803082955489,0.030269094051853303,124.0
augmentation_strength,strong,metal_nut,simclr,patchcore,strong,layer3,0.05,256.0,1940.0,1.89453125,42.71171855926514,2.8171823024749756,368.7978515625,0.6500488758553274,0.900265393648904,0.9007786183538466,0.018541684358016303,115.0
augmentation_strength,strong,pill,simclr,patchcore,strong,layer3,0.05,256.0,2352.0,2.296875,42.71171855926514,4.611862421035767,368.7978515625,0.6873977086743044,0.9141957996644527,0.8867248644419288,0.021307512671647672,167.0
augmentation_strength,strong,screw,simclr,patchcore,strong,layer3,0.05,256.0,2822.0,2.755859375,42.71171855926514,4.2813615798950195,368.7978515625,0.4935437589670015,0.738651091290558,0.9242547640371985,0.017559367418289184,160.0
augmentation_strength,strong,tile,simclr,patchcore,strong,layer3,0.05,256.0,2029.0,1.9814453125,42.71171855926514,4.264953374862671,368.7978515625,0.8088023088023087,0.9240445287192338,0.655971526635979,0.02440277327839126,117.0
augmentation_strength,strong,toothbrush,simclr,patchcore,strong,layer3,0.05,256.0,529.0,0.5166015625,42.71171855926514,1.830148696899414,361.6728515625,0.6027777777777777,0.7846209639739159,0.9279540896990507,0.03730492364792597,42.0
augmentation_strength,strong,transistor,simclr,patchcore,strong,layer3,0.05,256.0,1882.0,1.837890625,42.71171855926514,5.532586097717285,368.7978515625,0.7454166666666666,0.7172370491353904,0.8685110104711062,0.030701968669891357,100.0
augmentation_strength,strong,wood,simclr,patchcore,strong,layer3,0.05,256.0,2176.0,2.125,42.71171855926514,6.514518976211548,368.7978515625,0.8649122807017544,0.9565829878044848,0.7887759977168122,0.0371898759769488,79.0
augmentation_strength,strong,zipper,simclr,patchcore,strong,layer3,0.05,256.0,2117.0,2.0673828125,42.71171855926514,3.0130417346954346,368.7978515625,0.8038340336134453,0.9167567386860722,0.9365659025068298,0.017430599162120693,151.0
augmentation_strength_padim,strong,bottle,simclr,padim,strong,layer3,,100.0,196.0,7.55157470703125,42.71171855926514,3.5494577884674072,368.7978515625,0.9912698412698412,0.997435184326813,0.9514182035116001,0.022231320300734186,83.0
augmentation_strength_padim,strong,cable,simclr,padim,strong,layer3,,100.0,196.0,7.55157470703125,42.71171855926514,5.906372547149658,368.7978515625,0.724512743628186,0.8244504763271345,0.8765025576325182,0.0314341942469279,150.0
augmentation_strength_padim,strong,capsule,simclr,padim,strong,layer3,,100.0,196.0,7.55157470703125,42.71171855926514,5.651964902877808,368.7978515625,0.7179896290386917,0.9230615049095583,0.9282439951792428,0.031139547174627132,132.0
augmentation_strength_padim,strong,carpet,simclr,padim,strong,layer3,,100.0,196.0,7.55157470703125,42.71171855926514,6.9844276905059814,368.7978515625,0.5004012841091493,0.7719694044233438,0.8725586381468798,0.03202058514978132,117.0
augmentation_strength_padim,strong,grid,simclr,padim,strong,layer3,,100.0,196.0,7.55157470703125,42.71171855926514,3.674764633178711,368.7978515625,0.5864661654135339,0.7946905650651324,0.6727131062015705,0.01930105380522899,78.0
augmentation_strength_padim,strong,hazelnut,simclr,padim,strong,layer3,,100.0,196.0,7.55157470703125,42.71171855926514,10.117226600646973,368.7978515625,0.7,0.7496897995376668,0.9412466067617861,0.03185685114427046,110.0
augmentation_strength_padim,strong,leather,simclr,padim,strong,layer3,,100.0,196.0,7.55157470703125,42.71171855926514,5.7631542682647705,368.7978515625,0.920516304347826,0.9751523054709423,0.9780149158006081,0.028885133804813508,124.0
augmentation_strength_padim,strong,metal_nut,simclr,padim,strong,layer3,,100.0,196.0,7.55157470703125,42.71171855926514,3.065998077392578,368.7978515625,0.7311827956989247,0.925862701247711,0.9184175869474326,0.018454566209212594,115.0
augmentation_strength_padim,strong,pill,simclr,padim,strong,layer3,,100.0,196.0,7.55157470703125,42.71171855926514,4.630852937698364,368.7978515625,0.7228587015821059,0.9345188448982729,0.8148942271736002,0.02049001533828096,167.0
augmentation_strength_padim,strong,screw,simclr,padim,strong,layer3,,100.0,196.0,7.55157470703125,42.71171855926514,4.412891149520874,368.7978515625,0.5269522443123591,0.7753293821737302,0.8582471808984531,0.01602471321821213,160.0
augmentation_strength_padim,strong,tile,simclr,padim,strong,layer3,,100.0,196.0,7.55157470703125,42.71171855926514,4.544800281524658,368.7978515625,0.6367243867243868,0.7959559452276646,0.657445210621867,0.024410015497452173,117.0
augmentation_strength_padim,strong,toothbrush,simclr,padim,strong,layer3,,100.0,196.0,7.55157470703125,42.71171855926514,2.030855655670166,361.6728515625,1.0,0.9999999999999999,0.9569111322358443,0.03796228908357166,42.0
augmentation_strength_padim,strong,transistor,simclr,padim,strong,layer3,,100.0,196.0,7.55157470703125,42.71171855926514,5.760143756866455,368.7978515625,0.86375,0.8542117540170764,0.9545432075146473,0.03103113651275635,100.0
augmentation_strength_padim,strong,wood,simclr,padim,strong,layer3,,100.0,196.0,7.55157470703125,42.71171855926514,6.952436208724976,368.7978515625,0.743859649122807,0.8963530928522824,0.7686746548754382,0.03714538224135773,79.0
augmentation_strength_padim,strong,zipper,simclr,padim,strong,layer3,,100.0,196.0,7.55157470703125,42.71171855926514,3.357429265975952,368.7978515625,0.8398109243697479,0.9255078077118001,0.9084674089362963,0.01640546874494742,151.0
embedding_layer,layer2,bottle,simclr,patchcore,strong,layer2,0.05,128.0,6272.0,3.0625,42.71171855926514,3.3474979400634766,374.9228515625,0.9793650793650793,0.9942518352529515,0.9399036114061023,0.02954956135117864,83.0
embedding_layer,layer2,cable,simclr,patchcore,strong,layer2,0.05,128.0,6272.0,3.0625,42.71171855926514,5.152098894119263,374.9228515625,0.5556596701649175,0.6791398644157163,0.8708885344799581,0.037647132873535154,150.0
embedding_layer,layer2,capsule,simclr,patchcore,strong,layer2,0.05,128.0,6272.0,3.0625,42.71171855926514,5.2510459423065186,374.9228515625,0.6374152373354608,0.886273665870084,0.9643754235973597,0.038698131387883965,132.0
embedding_layer,layer2,carpet,simclr,patchcore,strong,layer2,0.05,128.0,6272.0,3.0625,42.71171855926514,5.0721540451049805,374.9228515625,0.7784911717495987,0.9322531379441864,0.8896181238268731,0.043846413620516785,117.0
embedding_layer,layer2,grid,simclr,patchcore,strong,layer2,0.05,128.0,6272.0,3.0625,42.71171855926514,2.6856367588043213,374.9228515625,0.8003341687552215,0.9270164848999425,0.8663102710031839,0.032177344346657775,78.0
embedding_layer,layer2,hazelnut,simclr,patchcore,strong,layer2,0.05,128.0,6272.0,3.0625,42.71171855926514,5.093047857284546,374.9228515625,0.9342857142857143,0.9655960654757503,0.9801959062985522,0.04877664392644709,110.0
