category,method,run_mode,representation_source,anomaly_head,aug_strength,backbone_name,layers,img_size,coreset_ratio,img_roc_auc,img_pr_auc,px_roc_auc,fit_sec,sec_per_img,n_eval_images,feature_dim,memory_bank_n,memory_bank_mb,checkpoint_size_mb,peak_gpu_mem_mb
bottle,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,0.9928571428571428,0.997614623940005,0.9765588743663751,4.323473930358887,0.026861136218151414,83.0,256.0,1842.0,1.798828125,,
bottle,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,0.9976190476190476,0.9992440151090303,0.9679383505858248,3.8597967624664307,0.023718124412628543,83.0,100.0,196.0,7.55157470703125,,
bottle,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,0.5103174603174604,0.8132439356353611,0.619768587035713,18.517645359039307,0.02466863034719444,83.0,,,,0.9917325973510742,
cable,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,0.8345202398800601,0.8990489253992161,0.9473351483222047,6.547626972198486,0.03731115976969401,150.0,256.0,1980.0,1.93359375,,
cable,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,0.9023613193403298,0.9218431561624283,0.9662055794741033,6.2880377769470215,0.03440920035044352,150.0,100.0,196.0,7.55157470703125,,
cable,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,0.5723388305847075,0.745661704476794,0.6799528730457913,30.76974081993103,0.03650598208109538,150.0,,,,0.9917154312133789,
capsule,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,0.6785001994415636,0.9078032165996652,0.970435057614912,6.1668994426727295,0.037886390180298775,132.0,256.0,1931.0,1.8857421875,,
capsule,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,0.9078579976067013,0.9660729388622736,0.9606018104351762,6.148141860961914,0.034454511873649826,132.0,100.0,196.0,7.55157470703125,,
capsule,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,0.20582369365775832,0.6826395099906224,0.8266932289783008,29.473780632019043,0.0361532803737756,132.0,,,,0.9917497634887695,
carpet,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,0.8824237560192617,0.9649091771113538,0.9806058602596542,7.641546010971069,0.03765716919532189,117.0,256.0,2470.0,2.412109375,,
carpet,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,0.9891653290529696,0.9966841966678841,0.9866553568676326,7.501232385635376,0.036232263613969855,117.0,100.0,196.0,7.55157470703125,,
carpet,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,0.3290529695024077,0.6842266511436378,0.5527090452057276,35.99289059638977,0.03474318064176119,117.0,,,,0.9917325973510742,
grid,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,0.5480367585630743,0.7497248447752709,0.8077221380402643,4.3591461181640625,0.024918812971848708,78.0,256.0,2332.0,2.27734375,,
grid,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,0.8579782790309106,0.9441200668094993,0.9222157007819912,3.821277379989624,0.021805854944082406,78.0,100.0,196.0,7.55157470703125,,
grid,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,0.42272347535505433,0.7256141254895527,0.634889323249577,18.531269311904907,0.01999830588316306,78.0,,,,0.9911489486694336,
hazelnut,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,0.9882142857142857,0.9940159508597481,0.9756354440794995,11.111195802688599,0.038142609596252444,110.0,256.0,3450.0,3.369140625,,
hazelnut,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,0.7964285714285715,0.8069754288426971,0.9673086554185288,11.026789665222168,0.035004591941833495,110.0,100.0,196.0,7.55157470703125,,
hazelnut,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,0.9485714285714286,0.9697445335570614,0.7915059937221866,53.30081081390381,0.03510760177265514,110.0,,,,0.9917669296264648,
leather,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,0.9904891304347826,0.9966943570838613,0.9864810894002232,6.846317291259766,0.03774804261422927,124.0,256.0,2166.0,2.115234375,,
leather,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,1.0,1.0000000000000002,0.9826650712685876,6.255606651306152,0.03207947554126862,124.0,100.0,196.0,7.55157470703125,,
leather,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,0.9096467391304348,0.9711651171299178,0.6847828290348897,31.074666738510132,0.033940830538349766,124.0,,,,0.9917497634887695,
metal_nut,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,0.8709677419354839,0.963606769955693,0.9456438143082714,3.1331796646118164,0.02424455518307893,115.0,256.0,1940.0,1.89453125,,
