epoch,loss,sec,aug_strength,run_mode
1,4.332231521606445,68.4974308013916,strong,full
2,3.518338441848755,68.21312642097473,strong,full
3,3.244274854660034,67.480304479599,strong,full
4,3.0959014892578125,67.9523777961731,strong,full
5,2.998377561569214,66.93882036209106,strong,full
6,2.961151599884033,67.31469988822937,strong,full
7,2.957158327102661,67.74309992790222,strong,full
8,2.9170093536376953,67.91961741447449,strong,full
9,2.8748345375061035,66.88296866416931,strong,full
10,2.8349833488464355,67.30283164978027,strong,full
11,2.845552444458008,67.82089328765869,strong,full
12,2.813430070877075,68.96803641319275,strong,full
13,2.765519142150879,68.7351336479187,strong,full
14,2.747925281524658,67.94884371757507,strong,full
15,2.7540178298950195,68.03707242012024,strong,full
16,2.7352583408355713,68.37111687660217,strong,full
17,2.7068777084350586,67.96278214454651,strong,full
18,2.6729955673217773,69.62657594680786,strong,full
19,2.65632963180542,68.49186658859253,strong,full
20,2.6660735607147217,68.51332426071167,strong,full
21,2.67501163482666,66.57608819007874,strong,full
22,2.6377782821655273,66.677241563797,strong,full
23,2.6144981384277344,67.43237280845642,strong,full
24,2.60927152633667,66.68963432312012,strong,full
25,2.5798592567443848,66.85639262199402,strong,full
26,2.550930976867676,67.12988710403442,strong,full
27,2.521662950515747,66.47466731071472,strong,full
28,2.5022382736206055,67.04533958435059,strong,full
29,2.4721508026123047,68.25082492828369,strong,full
30,2.473250150680542,68.22039604187012,strong,full
